CPU_Single,CPU_multi,CPU_Quad,GPU_Performance ,SSD_Performance,RAM Performance,Gaming preferences,Office Preferences,Server Preferences
126,155,198,389,460,157,3,3,3
98,91,70,211,230,110,3,3,3
257,1367,3969,248,507,193,3,3,3
104,338,793,66.3,168,50.2,3,3,3
195,783,1157,179,510,74.1,3,3,3
144,610,1205,103,179,79.8,3,3,3
153,624,991,128,113,77.7,3,3,3
227,1060,2781,350,346,107,3,3,3
186,806,1133,199,260,68.5,3,3,3
152,590,713,93.5,203,104,3,3,3
246,1165,1971,147,756,183,3,3,3
97.1,108,195,5.02,57.3,30.6,3,3,3
265,1354,3811,55.3,449,198,3,3,3
204,698,831,83.1,299,105,3,3,3
86,485,1010,10.2,111,64.9,3,3,3
128,413,428,5.99,116,66,3,3,3
266,1392,4393,315,619,152,3,3,3
198,796,1100,141,285,97,3,3,3
199,831,1116,124,228,90.9,3,3,3
96.5,525,910,8.57,198,55.7,3,3,3
169,705,1441,100,364,96.9,3,3,3
226,1154,2791,222,270,133,3,3,3
75.4,164,188,1.19,38.3,24,3,3,3
145,688,1839,183,276,64.9,3,3,3
137,683,1209,106,116,71.7,3,3,3
186,793,1404,141,207,80.9,3,3,3
149,586,681,123,162,107,3,3,3
166,678,1105,98.9,139,95.8,3,3,3
183,852,1566,182,259,95.6,3,3,3
194,1024,1640,52.2,487,104,3,3,3
200,828,1416,223,247,96.4,3,3,3
159,645,977,75,277,78.9,3,3,3
197,919,1583,89.9,172,67.2,3,3,2
160,533,645,123,190,80.9,3,3,2
195,909,1431,136,47.6,67.2,3,3,2
92.2,186,184,1.19,34.6,23.4,3,3,2
215,959,1803,249,451,197,3,3,2
149,596,654,88.4,101,86.6,3,3,2
231,1128,1810,92,290,189,3,3,2
234,967,1491,7.97,269,94.6,3,3,2
180,824,1460,154,131,80,3,3,2
262,1362,4396,411,605,202,3,3,2
65.8,134,130,2.77,127,35.2,3,3,2
119,463,676,77.9,92.3,85.3,3,3,2
201,777,1501,41,289,155,3,3,2
118,541,982,85.7,88.8,111,3,3,2
227,953,1408,103,254,149,3,3,2
56.1,98.8,99.6,44.2,86.5,26.5,3,3,2
194,886,1538,196,116,118,3,3,2
164,717,1106,15.4,118,64.4,3,2,2
233,1227,2972,301,594,132,3,2,2
173,768,1476,116,102,67,3,2,2
185,693,1107,96.8,230,66.7,3,2,2
149,564,611,51.3,93.3,84.2,3,2,2
174,690,1096,122,221,95.5,3,2,2
199,832,1240,154,225,85.9,3,2,2
209,916,1565,94.4,316,93,3,2,2
150,642,1019,103,111,68,3,2,2
156,597,778,105,92,60.3,3,2,2
146,539,890,29.7,217,81.2,3,2,2
138,584,941,54.2,73.9,39,3,2,2
38.2,100,100,3.26,44.6,13.5,3,2,2
140,474,757,88.8,181,81.1,3,2,2
119,468,676,83.5,91.9,85.5,3,2,2
139,432,443,66.5,404,72.5,3,2,2
178,815,1231,6.15,167,39.2,3,2,1
224,970,1782,201,275,201,3,2,1
201,832,1224,132,275,108,3,2,1
208,990,3034,215,556,183,3,2,1
264,1369,4314,412,605,213,3,2,1
201,914,1471,181,114,89.2,3,2,1
220,1077,1670,120,534,164,3,2,1
188,838,1172,110,223,74.2,3,2,1
123,304,403,39.1,38.8,38,3,2,1
164,761,1474,146,268,84.4,3,2,1
77.2,259,333,7.33,59,46.1,3,2,1
153,624,949,102,160,85.6,3,2,1
110,469,845,13.9,148,78.4,3,2,1
76.7,223,313,2.15,119,32.4,3,2,1
270,1436,4502,385,443,167,3,2,1
262,1350,3714,154,471,219,3,2,1
200,974,1552,295,215,118,3,2,1
107,331,369,45.1,95.4,71.3,3,2,1
155,639,980,115,84.6,83.8,3,2,1
172,743,1457,117,182,83.9,3,2,1
137,409,106,9.88,217,47.6,3,2,1
227,1151,2830,398,155,178,3,2,1
157,632,1065,51.3,200,92.9,3,2,1
193,930,1622,173,519,187,3,2,1
77.6,199,260,59.9,56.9,64.8,3,2,1
124,523,710,126,84.5,80.8,3,2,1
147,570,684,78.3,39.3,70.9,3,2,1
125,368,331,63,55.5,37.1,3,2,1
106,299,304,28,65.9,40.1,3,2,1
174,806,1486,209,238,95.5,3,2,1
250,1303,4271,396,458,128,3,2,1
120,467,675,80.2,87.1,84.7,3,2,1
186,792,1102,131,306,95.9,3,2,1
175,775,1562,108,94.5,95.3,3,2,1
242,1246,3709,381,440,173,3,2,1
126,155,198,389,460,157,2,2,2
98,91,70,211,230,110,2,2,2
257,1367,3969,248,507,193,2,2,2
104,338,793,66.3,168,50.2,2,2,2
195,783,1157,179,510,74.1,2,2,2
144,610,1205,103,179,79.8,2,2,2
153,624,991,128,113,77.7,2,2,2
227,1060,2781,350,346,107,2,2,2
186,806,1133,199,260,68.5,2,2,2
152,590,713,93.5,203,104,2,2,2
246,1165,1971,147,756,183,2,2,2
97.1,108,195,5.02,57.3,30.6,2,2,2
265,1354,3811,55.3,449,198,2,2,2
204,698,831,83.1,299,105,2,2,2
86,485,1010,10.2,111,64.9,2,2,2
128,413,428,5.99,116,66,2,2,2
266,1392,4393,315,619,152,2,2,2
198,796,1100,141,285,97,2,2,2
199,831,1116,124,228,90.9,2,2,2
96.5,525,910,8.57,198,55.7,2,2,2
169,705,1441,100,364,96.9,2,2,2
226,1154,2791,222,270,133,2,2,2
75.4,164,188,1.19,38.3,24,2,2,2
145,688,1839,183,276,64.9,2,2,2
137,683,1209,106,116,71.7,2,2,2
186,793,1404,141,207,80.9,2,2,2
149,586,681,123,162,107,2,2,2
166,678,1105,98.9,139,95.8,2,2,2
183,852,1566,182,259,95.6,2,2,2
194,1024,1640,52.2,487,104,2,2,2
200,828,1416,223,247,96.4,2,2,2
159,645,977,75,277,78.9,2,2,2
197,919,1583,89.9,172,67.2,2,2,2
160,533,645,123,190,80.9,2,2,1
195,909,1431,136,47.6,67.2,2,2,1
92.2,186,184,1.19,34.6,23.4,2,2,1
215,959,1803,249,451,197,2,2,1
149,596,654,88.4,101,86.6,2,2,1
231,1128,1810,92,290,189,2,2,1
234,967,1491,7.97,269,94.6,2,2,1
180,824,1460,154,131,80,2,2,1
262,1362,4396,411,605,202,2,2,1
65.8,134,130,2.77,127,35.2,2,2,1
119,463,676,77.9,92.3,85.3,2,2,1
201,777,1501,41,289,155,2,2,1
118,541,982,85.7,88.8,111,2,2,1
227,953,1408,103,254,149,2,2,1
56.1,98.8,99.6,44.2,86.5,26.5,2,2,1
194,886,1538,196,116,118,2,2,1
164,717,1106,15.4,118,64.4,2,1,1
233,1227,2972,301,594,132,2,1,1
173,768,1476,116,102,67,2,1,1
185,693,1107,96.8,230,66.7,2,1,1
149,564,611,51.3,93.3,84.2,2,1,1
174,690,1096,122,221,95.5,2,1,1
199,832,1240,154,225,85.9,2,1,1
209,916,1565,94.4,316,93,2,1,1
150,642,1019,103,111,68,2,1,1
156,597,778,105,92,60.3,2,1,1
146,539,890,29.7,217,81.2,2,1,1
138,584,941,54.2,73.9,39,2,1,1
38.2,100,100,3.26,44.6,13.5,2,1,1
140,474,757,88.8,181,81.1,2,1,1
119,468,676,83.5,91.9,85.5,2,1,1
139,432,443,66.5,404,72.5,2,1,1
178,815,1231,6.15,167,39.2,2,1,1
224,970,1782,201,275,201,2,1,3
201,832,1224,132,275,108,2,1,3
208,990,3034,215,556,183,2,1,3
264,1369,4314,412,605,213,2,1,3
201,914,1471,181,114,89.2,2,1,3
220,1077,1670,120,534,164,2,1,3
188,838,1172,110,223,74.2,2,1,3
123,304,403,39.1,38.8,38,2,1,3
164,761,1474,146,268,84.4,2,1,3
77.2,259,333,7.33,59,46.1,2,1,3
153,624,949,102,160,85.6,2,1,3
110,469,845,13.9,148,78.4,2,1,3
76.7,223,313,2.15,119,32.4,2,1,3
270,1436,4502,385,443,167,2,1,3
262,1350,3714,154,471,219,2,1,3
200,974,1552,295,215,118,2,1,3
107,331,369,45.1,95.4,71.3,2,1,3
155,639,980,115,84.6,83.8,2,1,3
172,743,1457,117,182,83.9,2,1,3
137,409,106,9.88,217,47.6,2,1,3
227,1151,2830,398,155,178,2,1,3
157,632,1065,51.3,200,92.9,2,1,3
193,930,1622,173,519,187,2,1,3
77.6,199,260,59.9,56.9,64.8,2,1,3
124,523,710,126,84.5,80.8,2,1,3
147,570,684,78.3,39.3,70.9,2,1,3
125,368,331,63,55.5,37.1,2,1,3
106,299,304,28,65.9,40.1,2,1,3
174,806,1486,209,238,95.5,2,1,3
250,1303,4271,396,458,128,2,1,3
120,467,675,80.2,87.1,84.7,2,1,3
186,792,1102,131,306,95.9,2,1,3
175,775,1562,108,94.5,95.3,2,1,3
242,1246,3709,381,440,173,2,1,1
126,155,198,389,460,157,1,1,1
98,91,70,211,230,110,1,1,1
257,1367,3969,248,507,193,1,1,1
104,338,793,66.3,168,50.2,1,1,1
195,783,1157,179,510,74.1,1,1,1
144,610,1205,103,179,79.8,1,1,1
153,624,991,128,113,77.7,1,1,1
227,1060,2781,350,346,107,1,1,1
186,806,1133,199,260,68.5,1,1,1
152,590,713,93.5,203,104,1,1,1
246,1165,1971,147,756,183,1,1,1
97.1,108,195,5.02,57.3,30.6,1,1,1
265,1354,3811,55.3,449,198,1,1,1
204,698,831,83.1,299,105,1,1,1
86,485,1010,10.2,111,64.9,1,1,1
128,413,428,5.99,116,66,1,1,1
266,1392,4393,315,619,152,1,1,1
198,796,1100,141,285,97,1,1,1
199,831,1116,124,228,90.9,1,1,1
96.5,525,910,8.57,198,55.7,1,1,1
169,705,1441,100,364,96.9,1,1,1
226,1154,2791,222,270,133,1,1,1
75.4,164,188,1.19,38.3,24,1,1,1
145,688,1839,183,276,64.9,1,1,1
137,683,1209,106,116,71.7,1,1,1
186,793,1404,141,207,80.9,1,1,1
149,586,681,123,162,107,1,1,1
166,678,1105,98.9,139,95.8,1,1,1
183,852,1566,182,259,95.6,1,1,1
194,1024,1640,52.2,487,104,1,1,1
200,828,1416,223,247,96.4,1,1,1
159,645,977,75,277,78.9,1,1,1
197,919,1583,89.9,172,67.2,1,1,1
160,533,645,123,190,80.9,1,1,3
195,909,1431,136,47.6,67.2,1,1,3
92.2,186,184,1.19,34.6,23.4,1,1,3
215,959,1803,249,451,197,1,1,3
149,596,654,88.4,101,86.6,1,1,3
231,1128,1810,92,290,189,1,1,3
234,967,1491,7.97,269,94.6,1,1,3
180,824,1460,154,131,80,1,1,3
262,1362,4396,411,605,202,1,1,3
65.8,134,130,2.77,127,35.2,1,1,3
119,463,676,77.9,92.3,85.3,1,1,3
201,777,1501,41,289,155,1,1,3
118,541,982,85.7,88.8,111,1,1,3
227,953,1408,103,254,149,1,1,3
56.1,98.8,99.6,44.2,86.5,26.5,1,1,3
194,886,1538,196,116,118,1,1,3
164,717,1106,15.4,118,64.4,1,3,3
233,1227,2972,301,594,132,1,3,3
173,768,1476,116,102,67,1,3,3
185,693,1107,96.8,230,66.7,1,3,3
149,564,611,51.3,93.3,84.2,1,3,3
174,690,1096,122,221,95.5,1,3,3
199,832,1240,154,225,85.9,1,3,3
209,916,1565,94.4,316,93,1,3,3
150,642,1019,103,111,68,1,3,3
156,597,778,105,92,60.3,1,3,3
146,539,890,29.7,217,81.2,1,3,3
138,584,941,54.2,73.9,39,1,3,3
38.2,100,100,3.26,44.6,13.5,1,3,3
140,474,757,88.8,181,81.1,1,3,3
119,468,676,83.5,91.9,85.5,1,3,3
139,432,443,66.5,404,72.5,1,3,3
178,815,1231,6.15,167,39.2,1,3,2
224,970,1782,201,275,201,1,3,2
201,832,1224,132,275,108,1,3,2
208,990,3034,215,556,183,1,3,2
264,1369,4314,412,605,213,1,3,2
201,914,1471,181,114,89.2,1,3,2
220,1077,1670,120,534,164,1,3,2
188,838,1172,110,223,74.2,1,3,2
123,304,403,39.1,38.8,38,1,3,2
164,761,1474,146,268,84.4,1,3,2
77.2,259,333,7.33,59,46.1,1,3,2
153,624,949,102,160,85.6,1,3,2
110,469,845,13.9,148,78.4,1,3,2
76.7,223,313,2.15,119,32.4,1,3,2
270,1436,4502,385,443,167,1,3,2
262,1350,3714,154,471,219,1,3,2
200,974,1552,295,215,118,1,3,2
107,331,369,45.1,95.4,71.3,1,3,2
155,639,980,115,84.6,83.8,1,3,2
172,743,1457,117,182,83.9,1,3,2
137,409,106,9.88,217,47.6,1,3,2
227,1151,2830,398,155,178,1,3,2
157,632,1065,51.3,200,92.9,1,3,2
193,930,1622,173,519,187,1,3,2
77.6,199,260,59.9,56.9,64.8,1,3,2
124,523,710,126,84.5,80.8,1,3,2
147,570,684,78.3,39.3,70.9,1,3,2
125,368,331,63,55.5,37.1,1,3,2
106,299,304,28,65.9,40.1,1,3,2
174,806,1486,209,238,95.5,1,3,2
250,1303,4271,396,458,128,1,3,2
120,467,675,80.2,87.1,84.7,1,3,2
186,792,1102,131,306,95.9,1,3,2
175,775,1562,108,94.5,95.3,1,3,2
242,1246,3709,381,440,173,1,3,2
